# /home/contrera/soft/github/get_homologues//pfam_enrich.pl -d cds_est_homologues -c clusters_cds -x clusters_cds_t3/SBCC073_pangenes_list.txt -n 1 -s 0 -e 1 -t greater -p 1.00 -r SBCC073 -f SBCC073_accessory.fna

# parsing clusters...
# 39538 sequences extracted from 112499 clusters

# total experiment sequence ids = 6304
# total control    sequence ids = 39538

# parse_Pfam_freqs: set1 = 813 Pfams set2 = 3863 Pfams


# created FASTA file: SBCC073_accessory.fna

# sequences=6304 mean length=400.3 , seqs/cluster=1.14

# fisher exact test type: 'greater'
# multi-testing p-value adjustment: fdr
# adjusted p-value threshold: 1

# total annotated domains: experiment=1898 control=19558

#PfamID	counts(exp)	counts(ctr)	freq(exp)	freq(ctr)	p-value	p-value(adj)	description
PF13976	14	19	7.376e-03	9.715e-04	2.994e-07	3.855e-04	GAG-pre-integrase domain
PF01535	59	305	3.109e-02	1.559e-02	5.950e-06	5.746e-03	PPR repeat
PF00560	32	128	1.686e-02	6.545e-03	1.140e-05	8.810e-03	Leucine Rich Repeat
PF00665	11	19	5.796e-03	9.715e-04	2.938e-05	1.891e-02	Integrase core domain
PF00078	20	64	1.054e-02	3.272e-03	3.642e-05	2.010e-02	Reverse transcriptase (RNA-dependent DNA polymerase)
PF18052	25	98	1.317e-02	5.011e-03	7.333e-05	3.541e-02	Rx N-terminal domain
PF13041	48	262	2.529e-02	1.340e-02	1.239e-04	5.320e-02	PPR repeat family
PF13855	36	190	1.897e-02	9.715e-03	4.588e-04	1.711e-01	Leucine rich repeat
PF14223	9	19	4.742e-03	9.715e-04	4.872e-04	1.711e-01	gag-polypeptide of LTR copia-type
PF07714	49	304	2.582e-02	1.554e-02	1.304e-03	4.198e-01	Protein tyrosine and serine/threonine kinase
PF13963	6	11	3.161e-03	5.624e-04	2.529e-03	7.516e-01	Transposase-associated domain
PF00098	12	43	6.322e-03	2.199e-03	2.764e-03	7.627e-01	Zinc knuckle
PF08284	6	13	3.161e-03	6.647e-04	4.751e-03	1.000e+00	Retroviral aspartyl protease
PF10536	6	15	3.161e-03	7.669e-04	8.145e-03	1.000e+00	Plant mobile domain
PF00225	11	45	5.796e-03	2.301e-03	9.288e-03	1.000e+00	Kinesin motor domain
PF01809	3	3	1.581e-03	1.534e-04	1.131e-02	1.000e+00	Putative membrane protein insertion efficiency factor
PF13966	7	22	3.688e-03	1.125e-03	1.165e-02	1.000e+00	zinc-binding in reverse transcriptase
PF01453	9	34	4.742e-03	1.738e-03	1.181e-02	1.000e+00	D-mannose binding lectin
PF00338	4	7	2.107e-03	3.579e-04	1.220e-02	1.000e+00	Ribosomal protein S10p/S20e
PF01096	4	7	2.107e-03	3.579e-04	1.220e-02	1.000e+00	Transcription factor S-II (TFIIS)
PF17917	4	7	2.107e-03	3.579e-04	1.220e-02	1.000e+00	RNase H-like domain found in reverse transcriptase
PF13456	6	17	3.161e-03	8.692e-04	1.300e-02	1.000e+00	Reverse transcriptase-like
PF01094	5	12	2.634e-03	6.136e-04	1.361e-02	1.000e+00	Receptor family ligand binding region
PF03732	5	12	2.634e-03	6.136e-04	1.361e-02	1.000e+00	Retrotransposon gag protein
PF00664	11	48	5.796e-03	2.454e-03	1.367e-02	1.000e+00	ABC transporter transmembrane region
PF00996	4	8	2.107e-03	4.090e-04	1.703e-02	1.000e+00	GDP dissociation inhibitor
PF00634	3	4	1.581e-03	2.045e-04	1.849e-02	1.000e+00	BRCA2 repeat
PF04762	3	4	1.581e-03	2.045e-04	1.849e-02	1.000e+00	IKI3 family
PF13960	3	4	1.581e-03	2.045e-04	1.849e-02	1.000e+00	Domain of unknown function (DUF4218)
PF00069	73	575	3.846e-02	2.940e-02	2.236e-02	1.000e+00	Protein kinase domain
PF02992	4	9	2.107e-03	4.602e-04	2.290e-02	1.000e+00	Transposase family tnp2
PF01909	3	5	1.581e-03	2.556e-04	2.766e-02	1.000e+00	Nucleotidyltransferase domain
PF02178	3	5	1.581e-03	2.556e-04	2.766e-02	1.000e+00	AT hook motif
PF04857	3	5	1.581e-03	2.556e-04	2.766e-02	1.000e+00	CAF1 family ribonuclease
PF03101	8	34	4.215e-03	1.738e-03	2.921e-02	1.000e+00	FAR1 DNA-binding domain
PF00005	16	93	8.430e-03	4.755e-03	3.101e-02	1.000e+00	ABC transporter
PF00854	11	56	5.796e-03	2.863e-03	3.282e-02	1.000e+00	POT family
PF00332	8	35	4.215e-03	1.790e-03	3.318e-02	1.000e+00	Glycosyl hydrolases family 17
PF08263	14	80	7.376e-03	4.090e-03	3.741e-02	1.000e+00	Leucine rich repeat N-terminal domain
PF16211	4	11	2.107e-03	5.624e-04	3.792e-02	1.000e+00	C-terminus of histone H2A
PF02966	3	6	1.581e-03	3.068e-04	3.880e-02	1.000e+00	Mitosis protein DIM1
