g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	
20274	16281	14123	13210	12714	11963	11616	11384	11249	11040	10801	10534	10324	10231	
18238	14571	13026	12398	12011	11590	11157	10844	10699	10580	10484	10408	10328	10231	
20196	15798	13899	12526	12161	11844	11382	11218	10900	10744	10647	10566	10334	10231	
20544	15618	13144	12275	11737	11244	11030	10830	10691	10581	10485	10384	10328	10231	
20544	16072	13814	12783	11854	11521	11255	11027	10882	10764	10587	10415	10334	10231	
19816	15682	13049	12500	11861	11628	11230	11029	10887	10762	10502	10376	10300	10231	
19886	14487	12948	12280	11727	11508	11306	10979	10855	10725	10627	10489	10375	10231	
21310	14874	12962	12175	11660	11407	11139	10972	10754	10593	10481	10395	10285	10231	
20303	14335	12984	12082	11710	11430	11230	11080	10889	10747	10640	10531	10455	10231	
21310	14887	13210	12124	11552	11310	11050	10935	10767	10662	10499	10378	10316	10231	
19816	15851	14041	12856	11978	11519	11096	10926	10824	10692	10536	10447	10344	10231	
19816	14963	13652	12702	11940	11643	11195	11029	10840	10719	10563	10440	10375	10231	
18013	14441	12956	12029	11442	11199	11033	10837	10722	10598	10479	10378	10316	10231	
19816	15682	14000	13184	12606	11704	11275	11120	10804	10635	10537	10425	10324	10231	
20196	14470	13174	12109	11755	11413	11247	11065	10892	10654	10488	10408	10344	10231	
21310	14887	13121	12376	12000	11677	11427	11056	10721	10616	10543	10453	10351	10231	
20544	15618	13395	12538	12083	11511	11308	11128	11002	10754	10644	10408	10301	10231	
21310	16277	13976	12936	12457	11686	11399	11061	10715	10578	10500	10417	10325	10231	
20196	16219	13942	12193	11599	11357	11152	10981	10721	10635	10488	10400	10300	10231	
20303	14604	13053	12274	11611	11160	11016	10877	10745	10595	10488	10400	10325	10231	
