g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	
20274	23784	25794	26967	27772	28215	28778	29101	29280	29366	29422	29475	29514	29514	
18238	21720	23375	25569	27011	28087	28832	29010	29209	29321	29370	29394	29402	29402	
20196	23038	25032	25920	26728	27295	27868	28034	28131	28171	28198	28207	28211	28211	
20544	22862	24458	26266	26827	27735	28162	28331	28523	28613	28676	28700	28707	28707	
20544	23489	24783	26717	27266	27816	28161	28316	28414	28464	28489	28503	28505	28505	
19816	23485	24889	26232	26852	27565	28184	28333	28469	28556	28579	28595	28597	28597	
19886	22668	24337	26098	27401	28055	28524	28919	29042	29100	29118	29130	29132	29132	
21310	23783	25231	26696	27500	28214	28654	28837	28919	29001	29029	29042	29043	29043	
20303	23191	25636	26525	27097	27752	28286	28657	28882	29000	29053	29066	29067	29067	
21310	23910	25815	26784	27400	27972	28475	28727	28917	29034	29070	29117	29121	29121	
19816	23512	25304	26211	26891	27353	28156	28458	28665	28767	28812	28823	28824	28824	
19816	22811	24848	26773	27353	27913	28186	28502	28666	28718	28747	28753	28753	28753	
18013	22793	24832	25874	27135	27707	28026	28226	28486	28558	28623	28664	28666	28666	
19816	23485	25049	26209	27003	27446	27811	28139	28464	28510	28570	28600	28606	28606	
20196	22521	24537	25476	26393	27227	27650	27922	28068	28229	28254	28259	28259	28259	
21310	23910	26077	27012	27613	27975	28201	28343	28429	28483	28499	28504	28506	28506	
20544	22862	24148	26016	27051	27922	28286	28451	28556	28592	28634	28647	28649	28649	
21310	24709	26220	27114	27599	27967	28200	28350	28461	28561	28584	28595	28597	28597	
20196	23840	25176	25945	26418	26865	27120	27287	27397	27442	27464	27473	27475	27475	
20303	23223	25416	26966	27610	28084	28573	28923	29053	29142	29165	29174	29177	29177	
