g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	
20274	21901	17583	15804	14920	13476	13268	12969	12839	12442	12078	11752	11573	11525	
18238	20090	16257	14840	14062	13313	12728	12347	12231	12043	11910	11788	11669	11521	
20196	21393	17790	14775	14600	13884	13054	12940	12276	12175	12044	11937	11522	11515	
20544	20090	16014	14952	13739	13030	12812	12378	12165	12022	11865	11752	11693	11521	
20544	21393	17197	15506	13706	13471	13062	12664	12508	12355	11947	11701	11673	11515	
19816	22135	15969	15469	13816	13582	12819	12640	12459	12210	11747	11715	11647	11549	
19886	19306	16413	14852	13791	13524	13092	12516	12490	12238	12082	11843	11698	11474	
21310	19306	16569	14843	13793	13375	12876	12668	12199	11971	11874	11770	11597	11564	
20303	19122	17679	14578	13915	13401	13041	12778	12454	12230	12084	11876	11774	11394	
21310	19394	17533	14444	13517	13280	12784	12671	12280	12138	11824	11695	11645	11533	
19816	22341	18205	15319	13812	13251	12676	12616	12458	12182	11962	11896	11732	11505	
19816	20090	17756	15451	13957	13641	12734	12689	12365	12267	11945	11785	11747	11474	
18013	22400	17299	14410	13540	13264	12962	12448	12291	12060	11870	11697	11645	11533	
19816	22135	18094	15980	14875	13302	12910	12844	12291	12093	12013	11832	11682	11525	
20196	19122	17653	14472	14037	13311	13098	12759	12460	12138	11932	11859	11771	11505	
21310	19394	17723	15522	14564	13757	13300	12535	12132	12155	12060	11915	11730	11498	
20544	20090	16436	14968	14208	13259	13111	12776	12587	12100	12045	11628	11614	11548	
21310	22341	18643	15824	14864	13316	13146	12501	12030	12015	11954	11781	11674	11524	
20196	24455	18594	14531	13808	13497	13088	12738	12207	12231	11878	11810	11623	11549	
20303	19394	17248	15210	13567	12863	12823	12513	12248	12025	11918	11810	11691	11524	
