<omega>	pairs	n_of_seqs	file
0	15	6	my_27795_TR1300-c0_g1_i1_aln.fna
0.01	120	16	my_22277_TR1756-c0_g1_i1_aln.fna
0.25	6	4	my_402368_MLOC_43266_aln.fna
0	120	16	my_17498_TR3492-c0_g1_i1_aln.fna
0.51	10	5	my_65811_TR26787-c0_g1_i1_aln.fna
0	6	4	my_66755_TR194-c0_g1_i1_aln.fna
0.14	105	15	my_31149_TR27982-c0_g1_i1_aln.fna
1.03	10	5	my_287383_TR19675-c0_g1_i1_aln.fna
0	6	4	my_34092_TR31589-c0_g1_i1_aln.fna
0	66	12	my_34465_TR26416-c0_g2_i1_aln.fna
0	6	4	my_26794_TR7807-c0_g1_i1_aln.fna
0	120	16	my_19745_TR34709-c0_g2_i1_aln.fna
0	21	7	my_32270_TR7909-c0_g1_i1_aln.fna
0.62	15	6	my_32112_TR26779-c0_g1_i1_aln.fna
0	28	8	my_34936_TR34528-c0_g1_i1_aln.fna
0	10	5	my_33961_TR7158-c0_g1_i1_aln.fna
0	120	16	my_14776_TR28833-c0_g1_i1_aln.fna
0	28	8	my_62864_TR24515-c0_g1_i1_aln.fna
0	55	11	my_24192_TR13860-c0_g1_i1_aln.fna
0	21	7	my_33965_TR7871-c0_g1_i1_aln.fna
0	10	5	my_27435_TR9620-c0_g1_i1_aln.fna
0	15	6	my_68165_TR15956-c0_g1_i1_aln.fna
0.01	120	16	my_7934_TR19318-c0_g1_i1_aln.fna
0.74	10	5	my_24861_TR23869-c2_g1_i10_aln.fna
0.14	21	7	my_20066_TR18408-c0_g1_i1_aln.fna
0	10	5	my_20798_TR31523-c0_g1_i1_aln.fna
0.18	6	4	my_59851_TR18-c0_g1_i1_aln.fna
0.77	21	7	my_188098_TCONS_00038826_aln.fna
0	55	11	my_23126_TR27617-c0_g2_i1_aln.fna
0	10	5	my_34359_TR7250-c0_g1_i1_aln.fna
0.54	6	4	my_94409_TR24208-c0_g1_i1_aln.fna
0.09	6	4	my_58220_TR565-c0_g2_i1_aln.fna
0.28	6	4	my_70255_TR29223-c0_g1_i1_aln.fna
0	36	9	my_26570_TR6687-c0_g1_i1_aln.fna
0	6	4	my_104484_TR15177-c0_g3_i2_aln.fna
0	10	5	my_20236_TR21602-c0_g1_i1_aln.fna
0	6	4	my_32375_TR19964-c1_g1_i1_aln.fna
0	10	5	my_92937_TR17791-c0_g1_i1_aln.fna
0.11	6	4	my_129120_TR24086-c1_g1_i1_aln.fna
0	36	9	my_21140_TR14123-c0_g1_i1_aln.fna
0	6	4	my_104292_TR9086-c0_g1_i1_aln.fna
0	21	7	my_34934_TR34393-c0_g1_i1_aln.fna
0	10	5	my_55678_TR8297-c0_g1_i1_aln.fna
0	36	9	my_32736_TR31230-c0_g1_i1_aln.fna
0	120	16	my_19373_TR8875-c0_g1_i1_aln.fna
0.1	45	10	my_19604_TR9150-c0_g1_i1_aln.fna
0.6	6	4	my_66259_TR15731-c0_g1_i1_aln.fna
0.02	91	14	my_18040_TR9070-c0_g1_i1_aln.fna
0	36	9	my_30971_TR6296-c0_g1_i1_aln.fna
0.52	15	6	my_101068_TR36197-c0_g1_i1_aln.fna
0	6	4	my_132531_TR34424-c0_g1_i1_aln.fna
0	45	10	my_32614_TR10776-c0_g1_i1_aln.fna
0	6	4	my_96917_TR34807-c0_g1_i1_aln.fna
0.44	6	4	my_31552_TR33625-c2_g1_i1_aln.fna
0.5	15	6	my_65275_TR31716-c0_g1_i1_aln.fna
0.55	6	4	my_68034_TR32192-c0_g1_i1_aln.fna
0	6	4	my_125243_TR18012-c0_g1_i1_aln.fna
0	91	14	my_29628_TR24474-c0_g1_i1_aln.fna
0	6	4	my_185093_TCONS_00020535_aln.fna
0	6	4	my_68039_TR32790-c0_g1_i1_aln.fna
0	78	13	my_30323_TR35437-c0_g1_i1_aln.fna
0.85	10	5	my_95548_TR7386-c0_g1_i1_aln.fna
