genomes	Alexis	AmagiNijo	Beiqing5	Esterel	Franka	Himala2	Hs_ECI-2-0	Hs_Turkey-19-24	Hs_XZ2	Morex	Padanggamu	SBCC073_fLF	Scarlett_fLF	TX9425	Yiwuerleng
Alexis	100	99.74	99.64	99.69	99.67	99.64	99.53	99.55	99.59	99.66	99.61	99.69	99.82	99.69	99.72
AmagiNijo	99.74	100	99.61	99.68	99.67	99.62	99.51	99.54	99.62	99.67	99.61	99.71	99.74	99.74	99.75
Beiqing5	99.64	99.61	100	99.60	99.58	99.75	99.52	99.54	99.66	99.60	99.78	99.67	99.65	99.64	99.62
Esterel	99.69	99.68	99.60	100	99.79	99.59	99.51	99.53	99.58	99.70	99.60	99.73	99.73	99.68	99.68
Franka	99.67	99.67	99.58	99.79	100	99.58	99.51	99.55	99.57	99.69	99.59	99.71	99.72	99.66	99.67
Himala2	99.64	99.62	99.75	99.59	99.58	100	99.49	99.52	99.64	99.59	99.81	99.65	99.62	99.63	99.60
Hs_ECI-2-0	99.53	99.51	99.52	99.51	99.51	99.49	100	99.52	99.53	99.54	99.52	99.60	99.59	99.50	99.54
Hs_Turkey-19-24	99.55	99.54	99.54	99.53	99.55	99.52	99.52	100	99.54	99.52	99.54	99.61	99.58	99.53	99.55
Hs_XZ2	99.59	99.62	99.66	99.58	99.57	99.64	99.53	99.54	100	99.58	99.64	99.64	99.62	99.60	99.60
Morex	99.66	99.67	99.60	99.70	99.69	99.59	99.54	99.52	99.58	100	99.60	99.68	99.71	99.67	99.70
Padanggamu	99.61	99.61	99.78	99.60	99.59	99.81	99.52	99.54	99.64	99.60	100	99.64	99.64	99.65	99.60
SBCC073_fLF	99.69	99.71	99.67	99.73	99.71	99.65	99.60	99.61	99.64	99.68	99.64	100	99.73	99.69	99.67
Scarlett_fLF	99.82	99.74	99.65	99.73	99.72	99.62	99.59	99.58	99.62	99.71	99.64	99.73	100	99.72	99.74
TX9425	99.69	99.74	99.64	99.68	99.66	99.63	99.50	99.53	99.60	99.67	99.65	99.69	99.72	100	99.79
Yiwuerleng	99.72	99.75	99.62	99.68	99.67	99.60	99.54	99.55	99.60	99.70	99.60	99.67	99.74	99.79	100
