source:/home/bcontreras/ownCloud/codigo/cvs/get_homologues-est/sample_intersection	E_coli_ST131_plasmid_pKC394.gb	E_coli_plasmid_pMUR050.gb	IncN_plasmid_R46.gb	K_oxytoca_plasmid_pKOX105.gb	K_pneumoniae_12_plasmid_12.gb	K_pneumoniae_9_plasmid_9.gb	K_pneumoniae_KP96_plasmid_pKP96.gb	S_enterica_subsp_enterica_serovar_Dublin_plasmid_pMAK2.gb	Uncultured_bacterium_plasmid_pRSB201.gb	Uncultured_bacterium_plasmid_pRSB203.gb	Uncultured_bacterium_plasmid_pRSB205.gb	Uncultured_bacterium_plasmid_pRSB206.gb	
7_transposase_A.faa	1	0	0	0	0	0	0	0	0	0	0	0	
8_tnpA.faa	2	0	0	0	0	0	0	0	0	0	0	0	
9_mphA.faa	1	0	0	0	0	0	0	0	0	0	0	0	
10_mrx.faa	1	0	0	0	0	0	0	0	0	0	0	0	
11_blaCTX-M-1.faa	1	0	0	0	0	0	0	0	0	0	0	0	
13_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
34_methyl-accepting_che...faa	1	0	0	0	0	0	0	0	0	0	0	0	
35_tnpA.faa	1	1	0	0	0	0	1	0	0	0	0	0	
36_beta-lactamase_CTX-M...faa	1	0	0	1	2	2	1	1	1	0	1	1	
60_ant3-9.faa	0	2	1	0	1	0	0	0	1	0	0	0	
61_linF.faa	0	1	0	0	0	0	0	0	0	0	0	0	
64_qacEdelta1.faa	0	1	1	0	0	0	1	0	0	0	0	0	
65_sul1.faa	0	1	1	0	1	0	2	0	0	0	0	1	
66_hypothetical_protein.faa	0	1	0	0	0	0	1	0	0	0	0	0	
68_armA.faa	0	1	0	0	0	0	0	0	0	0	0	0	
69_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	0	0	
70_tnpD.faa	0	1	0	0	0	0	2	0	0	0	0	0	
71_mel.faa	0	1	0	0	0	0	0	0	0	0	0	0	
72_mph1.faa	0	1	0	0	0	0	0	0	0	0	0	0	
73_mph2.faa	0	1	0	0	0	0	0	0	0	0	0	0	
74_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	0	0	
87_traA.faa	0	1	1	0	0	0	0	0	0	0	0	0	
159_intI1.faa	0	0	1	2	1	0	1	0	1	0	0	0	
160_oxa2.faa	0	0	2	0	0	0	0	0	0	0	0	0	
163_unknown.faa	0	0	1	0	0	0	0	0	0	0	0	0	
166_unknown.faa	0	0	1	0	0	0	1	0	0	0	0	0	
168_unknown.faa	0	0	1	0	0	0	0	0	0	0	0	0	
171_unknown.faa	0	0	1	0	0	0	0	0	0	0	0	0	
172_unknown.faa	0	0	1	0	0	0	0	0	0	0	0	0	
173_arsR.faa	0	0	1	0	1	0	0	0	0	0	0	0	
174_arsD.faa	0	0	1	0	1	0	0	0	0	0	0	0	
175_arsA.faa	0	0	1	0	1	0	0	0	0	0	0	0	
176_arsB.faa	0	0	1	0	1	0	0	0	0	0	0	0	
177_arsC.faa	0	0	1	0	1	0	0	0	0	0	0	0	
198_TnpA.faa	0	0	0	1	1	0	0	0	0	0	0	0	
200_AacA4.faa	0	0	0	1	1	0	1	0	0	0	0	0	
201_VIM-1.faa	0	0	0	1	0	0	0	0	0	0	0	0	
225_delta-FipA.faa	0	0	0	1	1	1	0	0	0	0	0	0	
226_TnpA.faa	0	0	0	1	1	0	0	0	0	0	0	0	
228_truncated_TnpA.faa	0	0	0	1	0	0	0	0	0	0	0	0	
229_QnrS1.faa	0	0	0	1	0	0	1	0	0	0	0	0	
230_hypothetical_protein.faa	0	0	0	1	0	0	0	0	0	0	0	0	
231_hypothetical_protein.faa	0	0	0	1	0	0	0	1	0	0	0	0	
232_hypothetical_protein.faa	0	0	0	1	0	0	0	0	0	0	0	0	
233_YdaA.faa	0	0	0	1	0	0	0	0	0	0	0	0	
234_hypothetical_protein.faa	0	0	0	1	0	0	0	0	0	0	0	0	
235_hypothetical_protein.faa	0	0	0	1	0	0	0	0	0	0	0	0	
236_putative_DeoR-type_t...faa	0	0	0	1	0	0	0	0	0	0	0	0	
238_TnpA.faa	0	0	0	1	0	0	0	0	0	0	0	0	
240_putative_invertase-r...faa	0	0	0	1	0	0	0	0	0	0	0	0	
241_PilT.faa	0	0	0	1	0	0	0	0	0	0	0	0	
242_TnpA.faa	0	0	0	1	0	0	0	0	0	0	0	0	
243_TnpM.faa	0	0	0	1	0	0	0	0	0	0	0	0	
245_dfrA14.faa	0	0	0	1	1	0	0	0	0	0	0	1	
246_hypothetical_protein.faa	0	0	0	1	0	0	0	0	0	0	0	0	
250_putative_mobilizatio...faa	0	0	0	0	1	0	0	0	0	0	0	0	
253_transposition_modula...faa	0	0	0	0	1	0	0	0	0	0	0	0	
255_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
264_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
268_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
280_transposase.faa	0	0	0	0	1	0	0	0	0	0	0	0	
281_phage_integrase_fami...faa	0	0	0	0	1	0	0	0	0	0	0	0	
282_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
286_streptomycin_phospho...faa	0	0	0	0	1	0	0	0	0	0	0	0	
288_resolvase.faa	0	0	0	0	1	0	0	0	0	0	0	0	
289_beta-lactamase.faa	0	0	0	0	1	0	0	0	0	0	0	0	
293_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
294_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
295_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
296_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
297_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
298_conserved_hypothetic...faa	0	0	0	0	1	0	0	0	0	0	0	0	
299_site-specific_recomb...faa	0	0	0	0	1	2	0	0	0	0	0	0	
301_putative_transposase.faa	0	0	0	0	1	2	0	0	0	0	0	0	
302_conserved_hypothetic...faa	0	0	0	0	1	2	0	0	0	0	0	0	
304_transposase-_IS4_fam...faa	0	0	0	0	1	2	0	0	0	0	0	0	
307_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	
308_conserved_hypothetic...faa	0	0	0	0	1	0	0	0	0	0	0	0	
318_TraB.faa	0	0	0	0	1	0	0	0	0	0	0	0	
321_arsenical_pump-drivi...faa	0	0	0	0	1	0	0	0	0	0	0	0	
327_TraB.faa	0	0	0	0	1	0	0	0	0	0	0	0	
338_InsB.faa	0	0	0	0	1	1	0	0	0	0	0	0	
341_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
348_group_II_intron-enco...faa	0	0	0	0	0	1	0	0	0	0	0	0	
349_transposase_InsF.faa	0	0	0	0	0	1	0	0	0	0	0	0	
350_transposase.faa	0	0	0	0	0	1	0	0	0	0	0	0	
351_putative_transposase...faa	0	0	0	0	0	1	0	0	0	0	0	0	
352_resolvase.faa	0	0	0	0	0	1	0	0	0	0	0	0	
353_S-formylglutathione_...faa	0	0	0	0	0	1	0	0	0	0	0	0	
354_glyoxalase-bleomycin...faa	0	0	0	0	0	1	0	0	0	0	0	0	
355_S--hydroxymethyl-glu...faa	0	0	0	0	0	1	0	0	0	0	0	0	
362_group_II_intron-enco...faa	0	0	0	0	0	1	0	0	0	0	0	0	
363_putative_transposase...faa	0	0	0	0	0	1	0	0	0	0	0	0	
364_conserved_hypothetic...faa	0	0	0	0	0	1	0	0	0	0	0	0	
365_NADH_dehydrogenase-_...faa	0	0	0	0	0	1	0	0	0	0	0	0	
366_excinuclease_ABC-_A_...faa	0	0	0	0	0	1	0	0	0	0	0	0	
367_ISEc8_transposase.faa	0	0	0	0	0	1	0	0	0	0	0	0	
368_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
376_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
379_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
380_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
381_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
382_conserved_hypothetic...faa	0	0	0	0	0	1	0	0	0	0	0	0	
383_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
384_hypothetical_protein.faa	0	0	0	0	0	2	0	0	0	0	0	0	
390_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
391_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
396_TraK.faa	0	0	0	0	0	1	0	0	0	0	0	0	
400_DNA_polymerase-_beta...faa	0	0	0	0	0	1	0	0	0	0	0	0	
401_protein_of_unknown_f...faa	0	0	0	0	0	1	0	0	0	0	0	0	
402_conserved_hypothetic...faa	0	0	0	0	0	1	0	0	0	0	0	0	
408_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
413_TraA.faa	0	0	0	0	0	1	0	0	0	0	0	0	
416_TraL.faa	0	0	0	0	0	1	0	0	0	0	0	0	
417_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
420_hypothetical_protein.faa	0	0	0	0	0	1	0	0	0	0	0	0	
435_ampR.faa	0	0	0	0	0	0	1	0	0	0	0	0	
438_unknown.faa	0	0	0	0	0	0	1	0	0	0	0	0	
444_FosA.faa	0	0	0	0	0	0	1	0	0	0	0	0	
445_tnpA.faa	0	0	0	0	0	0	1	0	0	0	0	0	
448_hypothetical_protein.faa	0	0	0	0	0	0	1	0	0	0	0	0	
471_putative_relaxase-he...faa	0	0	0	0	0	0	1	0	0	0	0	0	
495_MAK2.05.faa	0	0	0	0	0	0	0	2	0	0	0	0	
497_ble.faa	0	0	0	0	0	0	0	1	0	0	0	0	
498_sph.faa	0	0	0	0	0	0	0	1	0	0	0	0	
501_yahA.faa	0	0	0	0	0	0	0	1	0	0	0	0	
523_pecM.faa	0	0	0	0	0	0	0	1	1	0	1	1	
528_MAK2.40.faa	0	0	0	0	0	0	0	1	0	0	0	0	
547_insA.faa	0	0	0	0	0	0	0	0	1	0	0	0	
548_insB.faa	0	0	0	0	0	0	0	0	1	0	0	0	
557_insF.faa	0	0	0	0	0	0	0	0	1	0	0	0	
601_repA.faa	1	1	1	1	1	1	1	1	1	1	1	1	
602_resP.faa	1	1	1	1	1	1	1	1	1	1	1	1	
603_ecoRII.faa	1	0	0	1	1	1	1	0	1	1	1	1	
604_dcm.faa	1	1	0	1	1	1	1	1	1	1	1	1	
605_hypothetical_protein.faa	1	1	1	0	1	1	1	1	0	1	1	1	
606_type_IV_restriction_...faa	2	1	1	1	1	1	0	1	0	1	1	1	
607_tetC.faa	0	0	0	0	0	0	0	0	0	1	0	0	
608_tetB.faa	0	0	1	0	0	0	1	1	1	1	1	1	
609_tetR.faa	0	0	1	0	0	0	1	1	1	1	1	1	
611_strB.faa	0	0	0	0	1	0	0	1	1	1	1	1	
613_kikA.faa	1	1	1	1	1	0	1	1	1	1	1	1	
614_hypothetical_protein.faa	1	1	1	1	1	1	1	1	1	1	1	1	
615_korB.faa	1	1	1	1	1	1	1	1	1	1	1	1	
616_traL.faa	1	1	1	1	1	0	1	1	1	1	1	1	
617_korA.faa	1	1	1	1	1	1	1	1	1	1	1	1	
618_traM.faa	1	1	1	1	1	1	1	1	1	1	1	1	
619_traA.faa	1	0	0	1	1	0	0	0	1	1	1	1	
620_traB.faa	1	1	1	1	0	1	1	1	1	1	1	1	
621_traC.faa	1	1	1	1	1	1	1	1	1	1	1	1	
622_eex.faa	1	1	1	1	1	1	1	1	1	1	1	1	
623_traD.faa	1	1	1	1	1	1	1	1	1	1	1	1	
624_traN.faa	1	1	1	0	1	0	1	1	1	1	1	1	
625_traE.faa	1	1	1	1	1	1	1	1	1	1	1	1	
626_traO.faa	1	1	1	1	1	1	1	1	1	1	1	1	
627_traF.faa	1	1	1	1	1	1	1	1	1	1	1	1	
628_traG.faa	1	1	1	1	1	1	1	1	1	1	1	1	
629_nuc.faa	1	1	1	1	1	1	1	1	1	1	1	1	
630_fipA.faa	1	1	1	0	0	0	0	0	1	1	1	1	
631_traI.faa	1	1	1	1	1	1	1	1	1	1	1	1	
632_traJ.faa	1	1	1	1	1	1	1	1	1	1	1	1	
633_traK.faa	1	1	1	1	1	0	1	1	1	1	1	1	
634_stbA.faa	1	1	1	1	1	1	1	1	1	1	1	1	
635_stbB.faa	1	1	1	1	1	1	1	1	1	1	1	1	
636_stbC.faa	1	1	1	1	1	1	1	1	1	1	1	1	
637_hypothetical_protein.faa	1	1	1	1	1	1	1	1	1	1	1	0	
638_ccgAII.faa	1	1	1	1	1	0	1	1	1	1	1	1	
639_ccgAI.faa	1	1	1	1	1	1	1	1	1	1	1	1	
640_ardA.faa	0	0	1	1	0	1	1	0	1	1	0	1	
641_ccgC.faa	1	0	1	0	0	0	1	0	1	1	1	1	
642_ccgD.faa	1	0	1	0	0	1	1	0	1	1	1	1	
643_ccgEIII.faa	1	1	1	1	1	0	1	0	1	1	1	1	
644_ardR.faa	1	1	1	1	1	1	1	0	1	1	1	1	
645_ardB.faa	1	1	1	1	1	1	1	0	1	1	1	1	
646_mucA.faa	1	1	1	1	1	1	1	1	1	1	1	1	
647_mucB.faa	1	1	1	1	1	1	1	1	1	1	1	1	
648_mpr.faa	1	1	1	1	1	1	1	1	1	1	1	1	
649_ardK.faa	1	1	1	1	1	1	1	1	1	1	1	1	
743_putative_IS91_ORF2.faa	0	0	0	0	0	0	0	0	0	0	0	1	
744_tnp.faa	0	0	0	0	0	0	0	0	0	0	0	1	
