source:/home/bcontreras/ownCloud/codigo/cvs/get_homologues-est/sample_intersection	7_transposase_A.faa	8_tnpA.faa	9_mphA.faa	10_mrx.faa	11_blaCTX-M-1.faa	13_hypothetical_protein.faa	34_methyl-accepting_che...faa	35_tnpA.faa	36_beta-lactamase_CTX-M...faa	60_ant39.faa	61_linF.faa	64_qacEdelta1.faa	65_sul1.faa	66_hypothetical_protein.faa	68_armA.faa	69_hypothetical_protein.faa	70_tnpD.faa	71_mel.faa	72_mph1.faa	73_mph2.faa	74_hypothetical_protein.faa	87_traA.faa	159_intI1.faa	160_oxa2.faa	163_unknown.faa	166_unknown.faa	168_unknown.faa	171_unknown.faa	172_unknown.faa	173_arsR.faa	174_arsD.faa	175_arsA.faa	176_arsB.faa	177_arsC.faa	198_TnpA.faa	200_AacA4.faa	201_VIM-1.faa	225_delta-FipA.faa	226_TnpA.faa	228_truncated_TnpA.faa	229_QnrS1.faa	230_hypothetical_protein.faa	231_hypothetical_protein.faa	232_hypothetical_protein.faa	233_YdaA.faa	234_hypothetical_protein.faa	235_hypothetical_protein.faa	236_putative_DeoR-type_t...faa	238_TnpA.faa	240_putative_invertase-r...faa	241_PilT.faa	242_TnpA.faa	243_TnpM.faa	245_dfrA14.faa	246_hypothetical_protein.faa	250_putative_mobilizatio...faa	253_transposition_modula...faa	255_hypothetical_protein.faa	264_hypothetical_protein.faa	268_hypothetical_protein.faa	280_transposase.faa	281_phage_integrase_fami...faa	282_hypothetical_protein.faa	286_streptomycin_phospho...faa	288_resolvase.faa	289_beta-lactamase.faa	293_hypothetical_protein.faa	294_hypothetical_protein.faa	295_hypothetical_protein.faa	296_hypothetical_protein.faa	297_hypothetical_protein.faa	298_conserved_hypothetic...faa	299_site-specific_recomb...faa	301_putative_transposase.faa	302_conserved_hypothetic...faa	304_transposase-_IS4_fam...faa	307_hypothetical_protein.faa	308_conserved_hypothetic...faa	318_TraB.faa	321_arsenical_pump-drivi...faa	327_TraB.faa	338_InsB.faa	341_hypothetical_protein.faa	348_group_II_intron-enco...faa	349_transposase_InsF.faa	350_transposase.faa	351_putative_transposase...faa	352_resolvase.faa	353_S-formylglutathione_...faa	354_glyoxalase-bleomycin...faa	355_S--hydroxymethyl-glu...faa	362_group_II_intron-enco...faa	363_putative_transposase...faa	364_conserved_hypothetic...faa	365_NADH_dehydrogenase-_...faa	366_excinuclease_ABC-_A_...faa	367_ISEc8_transposase.faa	368_hypothetical_protein.faa	376_hypothetical_protein.faa	379_hypothetical_protein.faa	380_hypothetical_protein.faa	381_hypothetical_protein.faa	382_conserved_hypothetic...faa	383_hypothetical_protein.faa	384_hypothetical_protein.faa	390_hypothetical_protein.faa	391_hypothetical_protein.faa	396_TraK.faa	400_DNA_polymerase-_beta...faa	401_protein_of_unknown_f...faa	402_conserved_hypothetic...faa	408_hypothetical_protein.faa	413_TraA.faa	416_TraL.faa	417_hypothetical_protein.faa	420_hypothetical_protein.faa	435_ampR.faa	438_unknown.faa	444_FosA.faa	445_tnpA.faa	448_hypothetical_protein.faa	471_putative_relaxase-he...faa	495_MAK2.05.faa	497_ble.faa	498_sph.faa	501_yahA.faa	523_pecM.faa	528_MAK2.40.faa	547_insA.faa	548_insB.faa	557_insF.faa	601_repA.faa	602_resP.faa	603_ecoRII.faa	604_dcm.faa	605_hypothetical_protein.faa	606_type_IV_restriction_...faa	607_tetC.faa	608_tetB.faa	609_tetR.faa	611_strB.faa	613_kikA.faa	614_hypothetical_protein.faa	615_korB.faa	616_traL.faa	617_korA.faa	618_traM.faa	619_traA.faa	620_traB.faa	621_traC.faa	622_eex.faa	623_traD.faa	624_traN.faa	625_traE.faa	626_traO.faa	627_traF.faa	628_traG.faa	629_nuc.faa	630_fipA.faa	631_traI.faa	632_traJ.faa	633_traK.faa	634_stbA.faa	635_stbB.faa	636_stbC.faa	637_hypothetical_protein.faa	638_ccgAII.faa	639_ccgAI.faa	640_ardA.faa	641_ccgC.faa	642_ccgD.faa	643_ccgEIII.faa	644_ardR.faa	645_ardB.faa	646_mucA.faa	647_mucB.faa	648_mpr.faa	649_ardK.faa	743_putative_IS91_ORF2.faa	744_tnp.faa
E_coli_ST131_plasmid_pKC394.gb	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0
E_coli_plasmid_pMUR050.gb	0	0	0	0	0	0	0	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0
IncN_plasmid_R46.gb	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
K_oxytoca_plasmid_pKOX105.gb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0
K_pneumoniae_12_plasmid_12.gb	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0
K_pneumoniae_9_plasmid_9.gb	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0
K_pneumoniae_KP96_plasmid_pKP96.gb	0	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
S_enterica_subsp_enterica_serovar_Dublin_plasmid_pMAK2.gb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0
Uncultured_bacterium_plasmid_pRSB201.gb	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Uncultured_bacterium_plasmid_pRSB203.gb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
