source:test_barley/clusters_cds_t3	Alexis.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	AmagiNijo.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Beiqing5.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Esterel.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Franka.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Himala2.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_ECI-2-0.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_Turkey-19-24.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_XZ2.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Morex_MIPS_cDNAs.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Padanggamu.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	SBCC073_fLF.Trinity.fna.gz_l50_E1e-05.diamond.cds.fna.gz.nucl	Scarlett_fLF.Trinity.fna.gz_l50_E1e-05.diamond.cds.fna.gz.nucl	TX9425.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Yiwuerleng.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	
1_TR20326-c1_g1_i1.fna	2	11	5	3	2	13	2	2	2	2	12	12	9	15	16	
2_TR14190-c0_g1_i1.fna	1	1	1	1	1	1	1	3	1	10	7	2	2	1	10	
3_TR4758-c0_g1_i1.fna	1	2	1	2	1	1	1	1	1	3	2	2	2	2	3	
4_TR21012-c0_g1_i1.fna	1	5	3	2	1	4	3	1	3	3	7	5	5	9	7	
5_TR13889-c0_g1_i2.fna	2	2	2	1	1	5	1	2	1	7	8	4	6	3	8	
7_TR2077-c0_g2_i1.fna	2	2	3	1	1	1	2	2	1	6	5	8	3	3	7	
8_TR1940-c0_g1_i1.fna	2	2	1	1	3	4	1	2	2	2	12	9	5	4	15	
9_TR16091-c0_g1_i3.fna	3	1	2	3	2	1	2	3	3	4	2	5	4	3	2	
10_TR12298-c0_g1_i1.fna	1	6	6	3	6	15	3	1	5	7	9	3	3	10	7	
11_TR30434-c0_g1_i1.fna	1	6	2	2	2	5	2	2	2	5	9	6	2	7	7	
12_TR31131-c0_g1_i1.fna	1	2	2	1	1	2	1	1	1	2	7	2	1	2	4	
13_TR22363-c0_g1_i1.fna	1	1	1	2	1	1	2	1	1	1	5	3	1	2	9	
14_TR5157-c0_g1_i1.fna	1	2	2	2	1	3	1	1	2	5	3	4	4	3	5	
15_TR26376-c0_g2_i1.fna	2	2	2	1	3	6	1	2	2	4	7	5	7	6	8	
16_TR32050-c0_g1_i1.fna	1	3	1	2	2	2	2	3	2	10	3	3	2	2	6	
17_TR13620-c1_g1_i3.fna	3	1	4	4	4	3	2	4	2	6	2	4	3	3	5	
