# /home/contrera/soft/github/get_homologues//pfam_enrich.pl -d cds_est_homologues -c clusters_cds -x clusters_cds_t3/pangenome_matrix_t0__core_list.txt -n 1 -s 0 -e 1 -t greater -p 1.00 -r SBCC073 -f 0

# parsing clusters...
# 39538 sequences extracted from 112499 clusters

# total experiment sequence ids = 17564
# total control    sequence ids = 39538

# parse_Pfam_freqs: set1 = 3441 Pfams set2 = 3863 Pfams

# fisher exact test type: 'greater'
# multi-testing p-value adjustment: fdr
# adjusted p-value threshold: 1

# total annotated domains: experiment=12055 control=19558

#PfamID	counts(exp)	counts(ctr)	freq(exp)	freq(ctr)	p-value	p-value(adj)	description
PF00400	135	170	1.120e-02	8.692e-03	1.702e-02	9.394e-01	WD domain, G-beta repeat
PF00226	52	60	4.314e-03	3.068e-03	4.506e-02	9.394e-01	DnaJ domain
PF00271	89	115	7.383e-03	5.880e-03	6.285e-02	9.394e-01	Helicase conserved C-terminal domain
PF00076	157	218	1.302e-02	1.115e-02	7.749e-02	9.394e-01	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF01926	27	29	2.240e-03	1.483e-03	7.991e-02	9.394e-01	50S ribosome-binding GTPase
PF00270	63	80	5.226e-03	4.090e-03	8.637e-02	9.394e-01	DEAD/DEAH box helicase
PF13920	34	40	2.820e-03	2.045e-03	1.043e-01	9.394e-01	Zinc finger, C3HC4 type (RING finger)
PF00628	36	43	2.986e-03	2.199e-03	1.077e-01	9.394e-01	PHD-finger
PF01556	16	16	1.327e-03	8.181e-04	1.161e-01	9.394e-01	DnaJ C terminal domain
PF01842	14	14	1.161e-03	7.158e-04	1.367e-01	9.394e-01	ACT domain
PF01399	19	21	1.576e-03	1.074e-03	1.457e-01	9.394e-01	PCI domain
PF03151	24	28	1.991e-03	1.432e-03	1.477e-01	9.394e-01	Triose-phosphate Transporter family
PF02338	13	13	1.078e-03	6.647e-04	1.486e-01	9.394e-01	OTU-like cysteine protease
PF00566	18	20	1.493e-03	1.023e-03	1.576e-01	9.394e-01	Rab-GTPase-TBC domain
PF13432	18	20	1.493e-03	1.023e-03	1.576e-01	9.394e-01	Tetratricopeptide repeat
PF00514	23	27	1.908e-03	1.381e-03	1.589e-01	9.394e-01	Armadillo/beta-catenin-like repeat
PF02518	15	16	1.244e-03	8.181e-04	1.610e-01	9.394e-01	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF13181	25	30	2.074e-03	1.534e-03	1.639e-01	9.394e-01	Tetratricopeptide repeat
PF13637	20	23	1.659e-03	1.176e-03	1.650e-01	9.394e-01	Ankyrin repeats (many copies)
PF07992	17	19	1.410e-03	9.715e-04	1.706e-01	9.394e-01	Pyridine nucleotide-disulphide oxidoreductase
PF14379	14	15	1.161e-03	7.669e-04	1.750e-01	9.394e-01	MYB-CC type transfactor, LHEQLE motif
PF00899	11	11	9.125e-04	5.624e-04	1.766e-01	9.394e-01	ThiF family
PF01553	11	11	9.125e-04	5.624e-04	1.766e-01	9.394e-01	Acyltransferase
PF13087	11	11	9.125e-04	5.624e-04	1.766e-01	9.394e-01	AAA domain
PF13639	58	79	4.811e-03	4.039e-03	1.779e-01	9.394e-01	Ring finger domain
PF00642	23	28	1.908e-03	1.432e-03	1.891e-01	9.394e-01	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00175	13	14	1.078e-03	7.158e-04	1.905e-01	9.394e-01	Oxidoreductase NAD-binding domain
PF04408	13	14	1.078e-03	7.158e-04	1.905e-01	9.394e-01	Helicase associated domain (HA2)
PF04818	10	10	8.295e-04	5.113e-04	1.932e-01	9.394e-01	CID domain
PF01593	15	17	1.244e-03	8.692e-04	2.006e-01	9.394e-01	Flavin containing amine oxidoreductase
PF13424	15	17	1.244e-03	8.692e-04	2.006e-01	9.394e-01	Tetratricopeptide repeat
PF00176	22	27	1.825e-03	1.381e-03	2.032e-01	9.394e-01	SNF2 family N-terminal domain
PF17862	35	46	2.903e-03	2.352e-03	2.039e-01	9.394e-01	AAA+ lid domain
