genomes	Alexis	AmagiNijo	Beiqing5	Esterel	Franka	Himala2	Hs_ECI-2-0	Hs_Turkey-19-24	Hs_XZ2	Morex	Padanggamu	SBCC073_fLF	Scarlett_fLF	TX9425	Yiwuerleng
Alexis	100	71.54	70.76	72.43	72.06	70.46	68.19	68.82	70.18	52.87	70.39	67.22	66.78	71.85	69.82
AmagiNijo	71.54	100	70.89	71.38	70.90	70.40	68.64	67.31	70.83	53.11	71.43	66.53	65.57	71.94	70.77
Beiqing5	70.76	70.89	100	71.14	71.18	71.80	68.58	68.00	70.63	52.84	72.09	67.14	65.49	70.84	69.24
Esterel	72.43	71.38	71.14	100	73.66	70.79	68.59	68.60	70.52	52.62	71.03	67.40	65.79	71.94	69.74
Franka	72.06	70.90	71.18	73.66	100	70.74	68.24	68.80	69.98	52.86	70.66	67.62	66.20	71.61	69.41
Himala2	70.46	70.40	71.80	70.79	70.74	100	67.11	67.40	69.98	51.05	74.17	66.09	64.18	73.39	71.69
Hs_ECI-2-0	68.19	68.64	68.58	68.59	68.24	67.11	100	66.85	69.39	53.43	68.28	65.70	64.63	67.80	66.56
Hs_Turkey-19-24	68.82	67.31	68.00	68.60	68.80	67.40	66.85	100	68.38	52.54	67.43	65.55	64.54	67.80	66.17
Hs_XZ2	70.18	70.83	70.63	70.52	69.98	69.98	69.39	68.38	100	53.88	71.46	66.98	65.75	70.08	68.58
Morex	52.87	53.11	52.84	52.62	52.86	51.05	53.43	52.54	53.88	100	52.52	54.20	54.86	51.63	51.25
Padanggamu	70.39	71.43	72.09	71.03	70.66	74.17	68.28	67.43	71.46	52.52	100	67.31	65.35	72.78	71.75
SBCC073_fLF	67.22	66.53	67.14	67.40	67.62	66.09	65.70	65.55	66.98	54.20	67.31	100	68.84	67.16	66.05
Scarlett_fLF	66.78	65.57	65.49	65.79	66.20	64.18	64.63	64.54	65.75	54.86	65.35	68.84	100	65.15	64.67
TX9425	71.85	71.94	70.84	71.94	71.61	73.39	67.80	67.80	70.08	51.63	72.78	67.16	65.15	100	73.73
Yiwuerleng	69.82	70.77	69.24	69.74	69.41	71.69	66.56	66.17	68.58	51.25	71.75	66.05	64.67	73.73	100
